Lambda,Test_Accuracy_Soft_Pct,Test_Accuracy_Hard_Pct,Sparsity_Level_Pct,Total_Prunable_Weights,Pruned_Weights,Active_Weights,Min_Gate,Max_Gate,Mean_Gate,Median_Gate,Gate_Below_0.10_Pct,Gate_Below_0.05_Pct,Gate_Below_0.01_Pct,Training_Time_Sec
0.0,52.15,52.15,0.0,1737984,0,1737984,0.1538814902305603,0.9944148063659668,0.8167586922645569,0.8376823663711548,0.0,0.0,0.0,1305.386732339859
5e-06,57.37,57.36,75.5532271873619,1737984,1313103,424881,0.0013934896560385,0.9890735745429992,0.0383668094873428,0.0027974490076303,91.557514667511,88.10386061668396,75.55322647094727,2350.8921263217926
8e-06,57.85,57.99,81.91462061791132,1737984,1423663,314321,0.00137037364766,0.9874587059020996,0.0250903069972991,0.0021497325506061,94.5630669593811,91.8854832649231,81.914621591568,1983.351800441742
1e-05,57.42,57.47,84.4144134813669,1737984,1467109,270875,0.0013238341780379,0.986244022846222,0.0201686322689056,0.0019660026300698,95.74207663536072,93.4264063835144,84.41441059112549,1916.4505715370176
1.2e-05,57.53,57.57,86.29141580129621,1737984,1499731,238253,0.0012741350801661,0.9870114326477052,0.0167724192142486,0.0018581198528409,96.5873122215271,94.5298671722412,86.29141449928284,1079.520741224289
1.5e-05,56.73,56.63,88.25587577330977,1737984,1533873,204111,0.0012677690247073,0.9908854365348816,0.0134748863056302,0.0017231666715815,97.37045764923096,95.61842679977416,88.25587630271912,1023.394903421402
3e-05,55.38999999999999,55.11000000000001,92.94326069745176,1737984,1615339,122645,0.0012185925152152,0.9922187328338624,0.0069328076206147,0.0014825629768893,98.99176359176636,98.0797290802002,92.94326305389404,2118.925057411194
5e-05,54.0,54.22,95.54437785388129,1737984,1660546,77438,0.0012240251526236,0.9953027963638306,0.0044847279787063,0.0013945045648142,99.5402693748474,99.05879497528076,95.5443799495697,1936.3047263622284
0.0001,52.95,50.92,97.82679242156428,1737984,1700214,37770,0.0012192304711788,0.994137406349182,0.0028478531166911,0.0013453515712171,99.8320460319519,99.67560172080994,97.82679080963136,2101.158848762512
0.0002,51.28,46.54,99.0358369237001,1737984,1721227,16757,0.001212912495248,0.9965627789497375,0.0020897365175187,0.0013338011922314,99.92669820785522,99.8874008655548,99.03583526611328,859.8837578296661
0.0003,49.9,42.02,99.40534550375608,1737984,1727649,10335,0.0012148190289735,0.997138738632202,0.001820859266445,0.0013315095566213,99.95511770248412,99.93952512741087,99.40534830093384,806.4865944385529
0.0005,48.75,35.75,99.70534826557666,1737984,1732863,5121,0.0012339454842731,0.9968550205230712,0.0016128622228279,0.0013301932485774,99.97352957725523,99.96691346168518,99.70535039901732,929.94651055336
